epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3560.16,0.61344,0.431,1.2503,0.97522,0.96403,0.98363,0.83352,0.69874,0.38572,1.45716,0.000573891,0.000573891,0.000573891
43,3643.02,0.59745,0.42356,1.24562,0.97847,0.97407,0.98947,0.8469,0.63822,0.36579,1.38199,0.000556742,0.000556742,0.000556742
44,3725.06,0.61364,0.4115,1.2518,0.98049,0.97866,0.988,0.85182,0.6393,0.36058,1.3817,0.000539529,0.000539529,0.000539529
45,3810.39,0.59069,0.40431,1.23526,0.98239,0.97766,0.98878,0.85166,0.63858,0.3524,1.38344,0.000522275,0.000522275,0.000522275
46,3892.89,0.58783,0.40758,1.23883,0.9785,0.98487,0.99024,0.85616,0.65042,0.35904,1.39837,0.000505,0.000505,0.000505
47,3975.67,0.5863,0.41017,1.23315,0.98636,0.97875,0.98866,0.85742,0.63808,0.35569,1.36745,0.000487725,0.000487725,0.000487725
48,4059.7,0.59319,0.40502,1.24186,0.98185,0.97951,0.98768,0.86409,0.59992,0.34761,1.30233,0.000470471,0.000470471,0.000470471
49,4142.02,0.59286,0.40075,1.23818,0.98209,0.97977,0.98772,0.85102,0.67139,0.34969,1.41863,0.000453258,0.000453258,0.000453258
50,4225.26,0.58275,0.40794,1.23148,0.96978,0.98181,0.98976,0.86521,0.61539,0.35002,1.32897,0.000436109,0.000436109,0.000436109
51,4308.97,0.58907,0.39229,1.23341,0.98006,0.98869,0.99009,0.86925,0.61653,0.3386,1.34537,0.000419044,0.000419044,0.000419044
52,4391.15,0.58108,0.39428,1.22767,0.98372,0.98242,0.98762,0.86121,0.63568,0.3541,1.36608,0.000402084,0.000402084,0.000402084
53,4474.73,0.57794,0.38332,1.22635,0.97201,0.98257,0.98773,0.86792,0.60757,0.34886,1.33869,0.000385249,0.000385249,0.000385249
54,4557.86,0.5809,0.38126,1.22703,0.98357,0.98283,0.99022,0.86589,0.624,0.33979,1.35779,0.00036856,0.00036856,0.00036856
55,4640.23,0.56317,0.37531,1.21886,0.97787,0.98803,0.9901,0.87636,0.59272,0.32672,1.30602,0.000352037,0.000352037,0.000352037
56,4723.78,0.56376,0.36495,1.21561,0.97902,0.98823,0.98855,0.87202,0.60391,0.33084,1.33528,0.0003357,0.0003357,0.0003357
57,4806.97,0.56466,0.36946,1.21143,0.9833,0.98274,0.98772,0.87293,0.58103,0.33039,1.29466,0.00031957,0.00031957,0.00031957
58,4889.2,0.56534,0.36461,1.21349,0.97911,0.98785,0.98802,0.86893,0.62751,0.33722,1.34643,0.000303665,0.000303665,0.000303665
59,4972.66,0.56214,0.3659,1.21174,0.98327,0.98622,0.98785,0.86961,0.60735,0.3312,1.33981,0.000288006,0.000288006,0.000288006
